,Unnamed: 0,dias,fatorec,fatorev,neuronio,interação,acc_train,acc_test,test_acum,dif_acc,sharpe,DD_Max,DD_Mean,DD_std
331,0,1,0.25,0.25,92,200,0.484147188150891,0.44722222222222224,50.48172723719132,0.03692496592866873,1.3429742585958686,7.517899455492453,2.2851790988757106,1.7829532270182458
332,0,1,0.25,0.25,92,300,0.5042814163388104,0.44722222222222224,46.79728019831853,0.05705919411658816,1.0081401679689383,9.283883667208546,2.6411338491379417,2.0628791768736474
333,0,1,0.25,0.25,92,400,0.5290442027308493,0.4451388888888889,42.90096838999387,0.08390531384196043,0.9242030582852668,9.283883667208546,2.290747638634327,1.855386449860015
334,0,1,0.25,0.25,92,500,0.539689886600324,0.4493055555555556,54.44823260407213,0.09038433104476844,1.3065657021286332,8.334557154740256,2.2046765240496153,1.8800188846594712
338,0,1,0.25,0.25,93,400,0.467715806526267,0.4479166666666667,50.02969980084322,0.01979913985960036,1.2148246671047178,8.236530119211132,2.4866648067278376,2.1617252466669257
339,0,1,0.25,0.25,93,500,0.4776672066651238,0.4506944444444445,53.28009422192803,0.026972762220679347,1.078125237647302,9.883841387146543,2.6634705870432778,2.257386983890544
345,0,1,0.25,0.25,95,100,0.4563758389261745,0.4326388888888889,35.495027962489,0.0237369500372856,0.577091757608205,12.301346361140382,3.4759648977315085,2.8944168223489277
346,0,1,0.25,0.25,95,200,0.4887757463550104,0.4375,40.45775888971188,0.05127574635501042,0.746263767754506,10.842750415566476,3.7244777792985566,2.764528710454281
347,0,1,0.25,0.25,95,300,0.5089099745429299,0.4520833333333333,51.661047161448714,0.056826641209596525,1.007768222568299,10.252565223735765,2.597634070368287,2.320043206160925
348,0,1,0.25,0.25,95,400,0.5262670678083777,0.4479166666666667,54.44809542493074,0.07835040114171105,1.0183109084344433,10.693805786415377,2.6317078007651618,2.3743115780048027
349,0,1,0.25,0.25,95,500,0.5369127516778524,0.4520833333333333,50.87902809726882,0.08482941834451901,0.962531665247962,10.571917773564707,3.099424326549418,2.8698706736518615
360,0,1,0.25,0.25,98,100,0.4221245082156908,0.4368055555555556,36.18920632494186,-0.01468104733986475,0.5313471928007797,13.621679690894851,3.4015583534746376,3.179613982453805
361,0,1,0.25,0.25,98,200,0.4415644526729924,0.45,53.44047664783257,-0.008435547327007631,1.1186135682160991,9.554769969947063,2.05239296653332,2.0771405357518216
362,0,1,0.25,0.25,98,300,0.4498958574404073,0.4423611111111111,42.80821355838861,0.007534746329296237,0.8987697431450548,9.525957874058,2.2158585489432405,2.1188449268020126
363,0,1,0.25,0.25,98,400,0.4568386947465865,0.4444444444444444,50.319057994992406,0.01239425030214203,0.9982946389630029,10.081003349324256,2.180819913974045,2.1781585463880067
364,0,1,0.25,0.25,98,500,0.4654015274242074,0.44375,49.82521249829855,0.021651527424207395,0.8520087956295069,11.695938528776615,2.5255292121987654,2.7367628755272637
368,0,1,0.25,0.25,99,400,0.5019671372367508,0.4493055555555556,44.62576720287962,0.05266158168119522,0.6625569739973736,13.470771255682692,3.337949640211236,3.2561471157871718
377,0,1,0.25,0.25,101,300,0.4811386253182134,0.4381944444444445,36.027505793776214,0.04294418087376895,0.7088363183187644,10.165253913407586,3.1992631040673944,2.2612767590747
379,0,1,0.25,0.25,101,500,0.5026614209673687,0.4368055555555556,33.54104264444749,0.0658558654118131,0.6545092337672744,10.249219083247883,3.6317510652262635,2.6630336600797286
401,0,1,0.25,0.25,106,200,0.4783614903957417,0.4388888888888889,28.848187716651797,0.039472601506852834,0.5197016487099667,11.101826514601376,2.616812406571861,2.0483419224686767
402,0,1,0.25,0.25,106,300,0.5003471418653089,0.4388888888888889,35.81826859313309,0.06145825297642005,0.6996751137929121,10.238542971455313,3.0333581672956265,2.469063589053249
403,0,1,0.25,0.25,106,400,0.5197870863226105,0.4479166666666667,51.54341402229391,0.07187041965594383,1.045373031149907,9.86124808779433,2.5023404131307356,2.115811815524666
404,0,1,0.25,0.25,106,500,0.5288127748206434,0.4569444444444444,64.56509168691075,0.07186833037619894,1.593350436341818,8.104317821652103,2.183811751583626,2.001665698753834
407,0,1,0.25,0.25,107,300,0.4971071511224254,0.4340277777777778,34.362297655422246,0.06307937334464757,0.5553470446099179,12.375071764200607,3.212004606828487,2.6215648206778046
408,0,1,0.25,0.25,107,400,0.5128442490164313,0.4354166666666667,37.688665807378925,0.07742758234976466,0.5396621700601496,13.967503337570696,2.988604242761021,2.85017801921861
409,0,1,0.25,0.25,107,500,0.5223327933348761,0.4430555555555555,48.19642298987069,0.07927723777932061,0.8004122601157022,12.042899738418233,2.516440457744877,2.687833324738627
412,0,1,0.25,0.25,108,300,0.4927100208285119,0.4361111111111111,42.18152365034853,0.056598909717400774,0.6139006811533485,13.742132871102598,2.763931949266229,2.804595428717291
422,0,1,0.25,0.25,110,300,0.515852811849109,0.4486111111111111,46.595507451081296,0.0672417007379979,0.8426743689951048,11.05895922920897,2.2699876016398512,2.210704706186536
423,0,1,0.25,0.25,110,400,0.5336727609349687,0.4465277777777778,49.17572212341872,0.08714498315719094,1.0192053647789652,9.649816184804608,1.978814825371429,1.9346180159230293
424,0,1,0.25,0.25,110,500,0.5510298542004166,0.4430555555555555,45.15591363056121,0.10797429864486108,1.0485216770306844,8.613253234485061,2.1221307765878734,1.9514034357127177
425,0,1,0.25,0.25,111,100,0.42004165702383706,0.38472222222222224,30.534536424327392,0.03531943480161481,0.8039852774593729,7.595794918239747,2.746130374749983,1.8615362231199093
426,0,1,0.25,0.25,111,200,0.4827586206896552,0.42777777777777776,47.13297860263287,0.05498084291187744,1.4123439885167433,6.674433280539873,1.846301276594968,1.451248004754195
427,0,1,0.25,0.25,111,300,0.5135385327470493,0.4381944444444445,45.07247276307505,0.07534408830260486,1.0671114778936073,8.447565919175473,2.6797141295001285,2.1304180731563536
428,0,1,0.25,0.25,111,400,0.5345984725757926,0.43472222222222223,38.71560494050944,0.0998762503535704,0.6925309742188578,11.180902048223565,3.1852011535904245,2.764402943377936
429,0,1,0.25,0.25,111,500,0.5436241610738255,0.43125,37.58839352314353,0.11237416107382547,0.6449744677550905,11.655777213623464,3.4664419543308447,3.2632804369940644
